user_id,nome,email,data_cadastro,cidade,estado,valor_ultima_compra,data_ultimo_login
189d71cc-4e11-4b40-adf2-ca91330b4f29,Davi Luiz Barros,ana-clara73@example.com,16/10/2023,Vieira,sao paulo,"R$ 319,98",2025-07-15 22:22:59.584527
55bc4070-e1ac-4e8f-8b81-f821ffd0389c,Ana Vitória Cirino,aylacirino@example.net,24-Jun-2025,Rodrigues,SC,Não informado,2025-07-21 09:33:36.967066
3698d760-3e1b-4e09-8ce7-5c7c4a5b3427,Luiza Fernandes,correiajosue@example.net,2024-04-09,Martins da Praia,BA,"R$ 383,20",2025-07-28 19:25:37.695068
eea972ac-310f-417e-a70c-bd6b13b60fe0,Ana Carolina Pastor,bda-mata@example.org,27-Aug-2023,Pacheco,SC,,2025-08-09 02:38:51.791704
3906f8c2-75af-4e81-87b0-b996930e3a62,Bruna Nogueira,inunes@example.net,25/10/2023,Almeida da Mata,sao paulo,"R$ 103,44",2025-07-12 09:16:24.758296
811d76ae-1c21-4032-8f9a-6fff91374fbe,Brenda Azevedo,jose22@example.net,2023-08-17,da Luz,SC,"R$ 124,72",2025-08-03 20:33:06.162557
5d83b7e1-ce43-47eb-96b9-3efb03d06d15,Raul Sampaio,cavalcantirodrigo@example.com,2024-01-04,Leão,BA,"R$ 298,65",2025-07-20 19:48:52.645604
f9a2ec4b-bf20-4d9e-a38e-5be9baccf097,Maria Sophia Caldeira,vargasmarcelo@example.com,20-Nov-2023,Rios de Minas,rio de janeiro,,2025-07-13 14:14:07.393841
4e452fb4-e84d-477c-a7ed-ef7a01ef0100,Ana Laura da Rosa,teixeiragael-henrique@example.org,23/06/2025,Alves da Mata,SP,"R$ 588,96",2025-07-22 13:54:58.911005
3894efea-ebf3-4617-9046-5f4944a9da4e,Danilo Porto,nunesluiz-henrique@example.net,06-25-2024,Pastor,SC,"R$ 721,89",2025-08-02 10:41:03.876535
7fc7a89e-1810-4902-9365-496a018e85ed,Thales Duarte,bruno83@example.org,02-19-2025,Leão,BA,"R$ 325,68",2025-07-20 22:45:59.841121
e55b9b5b-c55d-4443-9c92-3c1c72242136,Clarice Castro,caioleao@example.net,2024-04-11,Aparecida da Praia,PR,"R$ 280,00",2025-08-01 13:28:55.107605
dec310c1-d6f9-4b78-8bc1-3048f85995bd,Laís Barbosa,apimenta@example.com,11/12/2024,Gonçalves,SP,"R$ 527,91",2025-08-07 06:43:49.062204
6978e617-04a1-425f-9cb9-b57f043ec077,Júlia Borges,,2024-07-28,Pacheco,BA,"R$ 635,70",2025-07-30 22:34:32.236467
564a6cb0-42ae-4c30-a32c-87efccb00cce,Davi Lucca Silveira,mendeskamilly@example.net,13-Feb-2024,Marques,rio de janeiro,"R$ 982,87",2025-07-20 03:18:49.808996
f9c1b223-79ec-48f0-94f5-ed1d9e3b31c5,Lucas Gabriel Moraes,ryan62@example.com,2025-03-02,das Neves do Amparo,BA,"R$ 413,32",2025-07-31 17:18:57.330393
731abb2b-451c-4c15-8d7c-837044744ba2,Dom Cavalcante,lporto@example.org,23/08/2023,Castro de Minas,São Paulo,"R$ 332,57",2025-08-08 00:58:22.274417
d509d3dc-af18-4a8c-9193-ee93027498a7,Sra. Isabela Montenegro,enricomacedo@example.net,09/10/2023,Ramos,SC,,2025-07-18 03:03:36.193518
bb466457-298d-4b24-ac18-c20421706fff,Davi Lucca Barros,albuquerqueian@example.com,2024-02-16,da Paz,SC,"R$ 492,02",2025-07-25 12:35:19.021276
dcf76c7a-55c8-44ad-b855-33a0f5af65f6,Laís da Luz,helena55@example.com,29/10/2024,da Rocha Grande,PR,"R$ 550,46",2025-08-06 12:08:20.611456
68e324c9-9f70-4a84-8ecf-b40457ca12c8,Isabelly Campos,oaraujo@example.net,08-09-2024,Cavalcanti Grande,SP,"R$ 238,62",2025-07-16 18:08:42.533037
86357abf-0f48-440e-8c48-3890d9f948b1,Ana Clara Nogueira,msouza@example.net,08-12-2023,Correia,rio de janeiro,,2025-07-17 10:11:43.616873
40b64449-7e6c-4de7-9726-85d5e06007f7,Pietro Marques,ocamargo@example.org,17-Jul-2025,Fernandes,MG,"R$ 567,26",2025-07-31 00:31:33.984236
6ef9dd66-b738-4ed6-a7e5-704712fc9ce3,Bella Alves,samuellima@example.net,17/12/2023,Porto,PR,,2025-07-30 03:25:53.466879
0202e2ca-2c37-457b-908d-0449588a1ea2,Sra. Ana Carolina Barbosa,joao-gabriel19@example.com,25/01/2025,Novaes das Pedras,São Paulo,"R$ 863,81",2025-07-22 04:06:19.488852
6313d2a2-9256-4ecb-83aa-3bdca40fd015,Ayla Rios,maria-isisda-cunha@example.com,09-01-2023,Silva,BA,"R$ 671,31",2025-07-16 08:46:04.034339
70595874-d971-4157-8d3a-515ed7350d9f,Antony Cavalcanti,cavalcantijade@example.net,05-01-2024,Machado,MG,"R$ 23,01",2025-07-25 01:31:40.911496
05c4e709-cba0-414d-a8c5-95949171def1,Sara da Cunha,esilveira@example.net,23-Nov-2024,Brito de Novais,MG,"R$ 482,02",2025-07-27 15:37:09.087961
6a95f463-3bfb-4dbf-b015-f17c5884a2ae,Luigi Souza,sousaanna-liz@example.org,02-03-2025,Barros do Campo,SP,"R$ 97,80",2025-07-28 16:46:57.366398
